VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description

WWf0Z6ak3Dg,5,15,878566,clean,27,Chinese,一 只 斗牛犬 正在 院子 里 追逐 一 只 蓝色 的 大 球 。

DBvSfds3FH4,76,80,682611,clean,37,Chinese,一个 女人 正在 揉面团 。

Ms3QdGIzltU,1,16,772960,clean,173,Chinese,一 只 棕色 仓鼠 正 吃 着 一些 蛋壳 放 在 桌子 上 。

nS6oQxX_Qi8,2,12,682611,clean,61,Chinese,一个 年轻人 正在 吹 小号 。

pDvzOLRLjPc,0,8,702553,unverified,159,Chinese,一个 人 在 用 奶瓶 喂 小熊猫 喝奶 。

LQ-jv8g1YVI,1,6,760882,clean,21,Chinese,猫 在 机器人 上 。

kquB3rIgfGk,640,645,702553,unverified,25,Chinese,一个 男人 正在 喝 水 。

BVjvRpmHg0w,157,165,550906,clean,46,Chinese,一个 女人 正在 切花 椰菜 。

QzcTlEpAigQ,0,14,878566,clean,24,Chinese,一 只 小 猎犬 正在 小船 上下水 。

KLgPTlBLHmo,18,21,550906,clean,424,Chinese,一个 高中生 在 空中 扔 报纸 。

AysIdzGF-7M,6,14,510157,unverified,29,Chinese,用 毛線 逗弄 小貓

iwpnUHFhjWc,9,14,550906,clean,34,Chinese,一个 女人 在 外面 跳舞 。

D-K3ThvAqfo,126,130,682611,clean,95,Chinese,一个 男人 骑 着 自行车 绕 着 一个 女人 兜圈子 。

bJJndejsUWc,88,98,682611,clean,100,Chinese,乐队 在 舞台 上 表演 ， 背景 是 火 。

Xh6rdpJNaf0,0,15,760882,clean,84,Chinese,兔子 在 舔 自己 。

eyBmG9ZZnLM,215,219,682611,clean,114,Chinese,一个 人 躺 在 沙滩 上 的 躺椅 上 ， 部分 被 海滩 伞 遮住 。

nwk4m329bLw,2,10,135621,clean,65,Chinese,一个 男人 在 一个 有着 四 条 狗 的 树林 里 的 田野 里 散步 。

ItFqogTmAvQ,389,395,682611,clean,80,Chinese,一个 女人 和 一个 男人手 牵 着 手 向 大海 跑 去 。

PCXHuseKwDc,17,20,682611,clean,81,Chinese,一个 人 从 一个 大 罐子 里 把 防冻液 倒 进 汽车 的 漏斗 里 。

9Bxknsvy3jQ,53,58,682611,clean,145,Chinese,一个 年轻人 沿着 一个 台阶 滑板 ， 爬 上 坡道 ， 然后 翻 转 到 上面 的 路面 上 。

a1Y73sPHKxw,0,5,702553,unverified,37,Chinese,一 只 土拨鼠 在 瞪 视 著 镜头 。

ph-72iVQQnU,38,48,682611,clean,44,Chinese,一个 女人 在 说话 。

C1MNCR1o9lU,0,7,702553,unverified,36,Chinese,妈妈 正在 用 奶瓶 喂 孩子 喝 奶 。

zzit5b_-ukg,5,20,280252,clean,67,Chinese,一个 男孩 正在 骑 自行车 做 运动 。

w9mqbwOIkVg,6,12,760882,clean,37,Chinese,一个 男人 正在 做 一个 有 重量 的 运动 。

lAznAeFFldg,6,10,550906,clean,60,Chinese,一个 人 骑 自行车 骑 在 树林 里 的 小山 上 。

VF1K_6ZSOAY,23,28,682611,clean,77,Chinese,一个 女人 正在 写字台 上 写字 ， 一个 小 盒子 慢慢 地 向 她 走 来 。

j2Dhf-xFUxU,13,20,682611,clean,94,Chinese,有人 正在 把 一 叠 酥脆 的 玉米饼 切 成 四 层 。

_txL575S_OA,13,23,772960,clean,295,Chinese,斑马 在 草原 上 吃 草 。

E6sqA9QtV5I,195,201,682611,clean,100,Chinese,一个 男人 ， 胳膊 上 有 纹身 ， 正在 亲吻 一个 女人 。

XzCcRzEa83U,1,8,411294,clean,20,Chinese,猴子 推 着 另 一 只 猴子 。

8jP8CC2rKj4,80,88,550906,clean,43,Chinese,海豚 跳出 水面 。

HBCJYhUjVf0,0,9,682611,clean,69,Chinese,一 只 狮子 从 封闭 区域 的 篱笆 上 跳 下来 。

uRo_vJ-zy-U,35,40,702553,unverified,43,Chinese,一个 人 开枪 射击 一 只 动物 。

n6U-TGahwvs,100,110,825347,clean,20,Chinese,乐队 正在 演奏 一 首 歌

Uc63MFVwfrs,360,372,682611,clean,68,Chinese,有人 把 一个 煮 熟 的 土豆 切 成 小 块 。

bQJQGoJF7_k,109,115,760882,clean,47,Chinese,一个 人 在 塑料 容器 里 倒 调味料 。

3SKyc0aKx70,46,52,550906,clean,33,Chinese,一个 男孩 在 蹦床 上 翻转 。

6t0BpjwYKco,46,53,411294,clean,27,Chinese,那位 女士 正 在 剥茄子 。

iju4KO-3KnY,2,12,702553,unverified,23,Chinese,一个 人 在 涂口红 。

PuQVs2Ch1LY,5,15,682611,clean,47,Chinese,一个 戴 眼镜 的 女孩 在 吹 笛子 。

elQqQfux7Po,12,22,682611,clean,76,Chinese,一 只 狗 正在 吃 一 片 西瓜 ， 有人 拿 着 一 块 盘子 。

zFIn8DeV5PM,20,33,550906,clean,26,Chinese,弹 钢琴 的 人

dEn5E-TNezw,13,23,667288,unverified,63,Chinese,一 隻 刺蝟 在 咬 毛巾 。

J3_hkgu6MGc,43,52,682611,clean,81,Chinese,晚上 ， 一 辆 汽车 在 街上 停 下来 ， 人们 开始 下车 。

q9ew_nITQWY,54,62,682611,clean,58,Chinese,两 个 队 正在 打板球 。

6owu8Mow0_g,302,307,760882,clean,13,Chinese,一个 人 把 比萨饼 放在 比萨饼 上 。

WTf5EgVY5uU,98,104,807872,clean,18,Chinese,一个 女人 打破 了 一个 鸡蛋 。

9W6aQNcU3PA,92,103,702553,unverified,38,Chinese,一个 女人 在 用 锉刀 修理 指甲 。

bXsKw3TOQXs,30,55,550906,clean,151,Chinese,一 小 片 纸 被 折叠 起来 。

5W02895vT8c,312,322,760882,clean,14,Chinese,飞机 起飞 了 。

PHDmVhShE80,20,29,411294,clean,24,Chinese,那个 女人 在 割 触手 。

6t0BpjwYKco,118,127,682611,clean,162,Chinese,一个 妇女 在 一个 深煎 锅 里 切 洋葱 ， 加入 碎 胡萝卜 ， 继续 用 筷子 炒 混合物 。

xxHx6s_DbUo,41,44,682611,clean,72,Chinese,一个 男人 背着 另 一个 男人 。

DIebwNHGjm8,133,148,702553,unverified,43,Chinese,一个 人 驾 着 滑水车 在 海上 行驶 。

fvXXLP6A4p4,109,119,760882,clean,194,Chinese,一个 男人 和 一个 女人 在 外面 跳舞 。

39Ce7I6nXIw,96,104,550906,clean,939,Chinese,一个 人 在 遛马 。

TJXEKN7nwUc,11,49,682611,clean,115,Chinese,一 只 狗 试图 在 狗 嘴里 叼 着 一 根 长长的 棍子 不 成功 。

0lh_UWF9ZP4,50,60,682611,clean,86,Chinese,一 位 女士 将 三 种 不同 的 原料 加入 并 搅拌 到 一 碗 煮 熟 的 白米饭 中 。

BVilbVCo9sU,1,11,682611,clean,69,Chinese,一 只 大 猫咪 在 观察 和 嗅 着 一 只 蜘蛛 。

OUII8_aOfNM,60,69,777192,unverified,15,Chinese,屠夫 切肉 。

JK1R9k1WDpc,6,15,682611,clean,138,Chinese,一 群 大象 正 沿着 一 条 小路 走 着 。

u4kMN1jamdM,10,20,550906,clean,71,Chinese,在 海滩 上 骑马 的 女人 。

7NNg0_n-bS8,21,30,550906,clean,26,Chinese,一个 男人 在 唱歌 和 弹 吉他 。

UXs3eq68ZjE,255,260,682611,clean,67,Chinese,有人 用 木勺 在 一 壶 水 里 搅米饭 。

-_hbPLsZvvo,288,305,922727,clean,123,Chinese,一个 女人 用 香料 包米饭 。

wjH72cZ0GLM,1,10,651813,clean,13,Chinese,一个 男人 正在 推 一 辆 车 。

32_A0-er4Ws,16,20,550906,clean,36,Chinese,一个 摘 西红柿 的 女人

vE1gvaM3iAs,39,46,295615,clean,65,Chinese,戴手套 的 人 擦 去 DVD 。

MF88IYF2MHY,25,59,550906,clean,41,Chinese,一 只 愤怒 的 猫 发出 嘶嘶声 和 搔痒 。

H7vezmDeZaw,2,7,232617,unverified,56,Chinese,男子 想 学 蜘蛛侠 趴 在 墙上

BAf3LXFUaGs,28,38,411294,clean,15,Chinese,那个 人 在 敲鼓 。

80D0ylOqPJ8,0,5,682611,clean,68,Chinese,一 只 狗 用 后腿 在 空中 行走 。

ywMLb2VfHbI,13,20,651813,clean,14,Chinese,沙鼠 在 他 的 轮子 里 奔跑 。

XZ0Ch_ClBfo,120,127,682611,clean,59,Chinese,三 个 人 跑 进 大海 玩 。

gMqKUPeTAkg,17,30,504413,unverified,151,Chinese,黑貓飲 用 自來水

PmrTDZy3f2M,35,39,682611,clean,56,Chinese,两 名 男子 砰砰 地 把 篮球 投篮 。

S-Civm_fbK8,20,26,550906,clean,34,Chinese,一个 人 把 足球 踢 进 了 网 。

BtQtRGI0F2Q,15,20,702553,unverified,63,Chinese,两 个 工人 在 意外 爆炸 的 电线杆 上 工作 。

o_mWZWcm2r4,10,15,682611,clean,77,Chinese,两 个 人 正在 用 防护 装备 爬 上 墙 。

j2sOMdilDWU,87,97,682611,clean,49,Chinese,一个 人 在 一 张 纸 上 画 东西 。

hcCLIzzB1jQ,1,7,682611,clean,69,Chinese,穿 着 西装 的 人 正在 做 单手 俯卧撑 。

